               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.033265,            0.020917,           0.0058279,             0.60081,             0.51951,             0.51683,             0.28923,            0.061428,            0.013028,            0.023651,           0.0070795,           0.0070795,           0.0070795
                 120,             0.03326,             0.01904,           0.0057776,             0.63601,             0.51707,             0.53274,              0.3171,             0.06139,            0.013013,            0.020524,           0.0070547,           0.0070547,           0.0070547
                 121,            0.030844,            0.018243,           0.0044209,              0.6839,              0.4805,             0.55205,             0.34248,            0.062697,            0.014094,            0.025302,             0.00703,             0.00703,             0.00703
                 122,            0.032743,            0.019292,           0.0046692,             0.61009,             0.53866,             0.52991,             0.30364,            0.056627,            0.013445,            0.032738,           0.0070053,           0.0070053,           0.0070053
                 123,            0.032328,            0.017851,            0.005562,             0.56492,             0.47491,             0.45439,             0.27312,             0.05707,            0.013673,            0.042059,           0.0069805,           0.0069805,           0.0069805
                 124,            0.032864,            0.018235,           0.0059028,             0.63928,             0.39781,             0.43621,             0.25559,            0.063178,            0.013829,            0.030414,           0.0069558,           0.0069558,           0.0069558
                 125,            0.032814,            0.018448,           0.0047262,             0.62148,             0.40437,             0.45535,             0.26568,            0.059566,            0.014028,            0.037738,            0.006931,            0.006931,            0.006931
                 126,            0.032908,            0.018765,            0.004509,             0.66155,             0.49768,             0.52707,              0.3214,            0.060196,            0.013719,            0.025542,           0.0069063,           0.0069063,           0.0069063
                 127,            0.032117,            0.018461,           0.0056989,             0.60182,             0.44348,             0.49654,             0.29754,            0.063057,            0.013815,            0.023293,           0.0068815,           0.0068815,           0.0068815
                 128,            0.030158,            0.018514,           0.0046379,             0.62173,              0.4302,             0.48308,             0.29515,            0.064509,            0.013945,            0.025154,           0.0068568,           0.0068568,           0.0068568
                 129,            0.031647,            0.018603,           0.0046482,             0.68965,             0.45781,             0.53974,             0.32611,            0.064299,            0.013449,            0.026333,            0.006832,            0.006832,            0.006832
                 130,            0.031706,            0.017715,           0.0053232,             0.69081,             0.41128,             0.45988,             0.29415,            0.066346,            0.013226,            0.030347,           0.0068073,           0.0068073,           0.0068073
                 131,            0.031376,            0.019051,           0.0042169,             0.61707,             0.52926,             0.51812,             0.29241,            0.060368,            0.013731,            0.033704,           0.0067825,           0.0067825,           0.0067825
